iter	RMSE
0	0.04688143706
1	0.04594492561
2	0.04500395075
3	0.04418491522
4	0.04330885196
5	0.04241198618
6	0.04163073252
7	0.04079413694
8	0.03999443944
9	0.03927433287
10	0.03849475264
11	0.03775472434
12	0.03704970143
13	0.03636295103
14	0.03566475569
15	0.03501917966
16	0.03440068467
17	0.0338680864
18	0.03332323446
19	0.03285774317
20	0.03229908198
21	0.03179380702
22	0.03132936568
23	0.03092013243
24	0.0304709996
25	0.03008770195
26	0.02966169238
27	0.02925364445
28	0.02890922195
29	0.02852752546
30	0.02815881469
31	0.02782029097
32	0.027484464
33	0.02715450341
34	0.0268446066
35	0.02658301152
36	0.02633877615
37	0.02605868188
38	0.02581881658
39	0.02553751321
40	0.02528744933
41	0.02505672248
42	0.02485849751
43	0.02463925581
44	0.02443430154
45	0.02421831905
46	0.02402619405
47	0.0238612783
48	0.02370038169
49	0.02351234356
50	0.02332905179
51	0.02316605085
52	0.02301324606
53	0.02284105739
54	0.02270801713
55	0.02257273845
56	0.02241880255
57	0.02229843593
58	0.02220987439
59	0.02207323564
60	0.02193691159
61	0.02182898369
62	0.02170788068
63	0.02157210728
64	0.02147313191
65	0.02137742293
66	0.02128338238
67	0.02121042258
68	0.02110697898
69	0.02102135183
70	0.02093403236
71	0.02083009252
72	0.02074881249
73	0.02066615981
74	0.02059538329
75	0.02053008408
76	0.02046246088
77	0.02038910865
78	0.02031015861
79	0.02025244425
80	0.02020925254
81	0.02015375976
82	0.02011391921
83	0.02005191392
84	0.01997327318
85	0.01994218486
86	0.01989458214
87	0.01984469404
88	0.01978814915
89	0.01975007104
90	0.01970903933
91	0.01965879006
92	0.01961203043
93	0.01957014024
94	0.01954281586
95	0.01947935917
96	0.01943021945
97	0.01938095797
98	0.0193357085
99	0.01930200493
100	0.01927848836
101	0.01924294818
102	0.01921023343
103	0.01919735011
104	0.01917027251
105	0.01913322159
106	0.01907812329
107	0.01904772204
108	0.01901937933
109	0.01898270043
110	0.01894863135
111	0.018930057
112	0.01890562425
113	0.01887636237
114	0.01886259523
115	0.01884717772
116	0.01882228131
117	0.01881450277
118	0.01879815661
119	0.01877194754
120	0.01875872655
121	0.01874153295
122	0.0187277929
123	0.01870039115
124	0.01867241874
125	0.01865619757
126	0.01862828172
127	0.01861842073
128	0.01858902546
129	0.01857626077
130	0.01855256517
131	0.01853960839
132	0.01851497885
133	0.01848788647
134	0.01847566799
135	0.01845111364
136	0.01842237548
137	0.01840273869
