feature,importance
neighborhood_price_mean,15.091347260115429
neighborhood_price_std,13.454472504771156
total_sqft,11.131359284558869
neighborhood_price_median,10.145548545642189
sqft_living,9.277953070011838
grade,7.810633196993211
is_luxury,5.322996371747454
space_efficiency,4.2367732293221145
house_age,3.939311191454849
sqft_above,3.5371775017717915
sqft_basement,3.259386819287127
bath_bed_ratio,3.0502500623491176
years_since_reno,2.7369518963320485
bathrooms,2.0899667346423323
bedrooms,1.3466282359718744
condition,1.1229422344386648
floors,0.9439204954381045
has_basement,0.9225081224776415
has_been_renovated,0.5798732426742126
